"Add to Wish List", "Lista de Desejos"
"Add to Compare", "Comparar"
"Your Checkout Progress", "Progresso"
"Card Verification Number", "CVC"
"Items %1-%2 of %3","%3 itens"
"Regular Price", "de"
"Shop By","Filtrar"
"Remove item", "Remover"
"View Order", "Ver"
"Update Shopping Cart", "Atualizar"
"Print Order", "Imprimir"
"Move to Wish List","Mover"
"Copy to Wish List","Copiar"
"Move Selected to Wish List", "Mover Selecionados"
"Copy Selected to Wish List", "Copiar Selecionados"
"%1 items in wish list", "%1 itens"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Forma de Entrega"
